Date,Recip_County,Recip_State,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Census2019,Census2019_12PlusPop,Census2019_18PlusPop
4/29/2021,Monmouth County,NJ,295627,47.8,295607,54.8,292796,59.8,90230,80.2,201703,32.6,201701,37.4,200980,41.1,72710,64.6,618795,539254,489383
4/29/2021,Warren County,NJ,48733,46.3,48731,52.5,48363,57,16803,85.2,31451,29.9,31451,33.9,31389,37,13923,70.6,105267,92873,84914
4/29/2021,Cape May County,NJ,49583,53.9,49582,60.7,49283,64.8,20966,83.3,39861,43.3,39861,48.8,39751,52.2,18453,73.3,92039,81647,76089
4/29/2021,Bergen County,NJ,490974,52.7,490938,60.8,483453,65.7,133393,81,353735,37.9,353730,43.8,351718,47.8,115984,70.4,932202,807139,735893
4/29/2021,Passaic County,NJ,203917,40.6,203879,48.3,201890,52.7,55427,73.7,133072,26.5,133068,31.5,132569,34.6,44168,58.7,501826,422206,382808
4/29/2021,Hunterdon County,NJ,62248,50.1,62247,56.4,61597,61.2,19092,79.3,37914,30.5,37913,34.4,37754,37.5,13962,58,124371,110363,100659
4/29/2021,Sussex County,NJ,63203,45,63191,51,62653,55.3,19358,76.7,42076,29.9,42076,34,41949,37,15395,61,140488,123854,113243
4/29/2021,Unknown County,NJ,,0,,0,,0,,0,288043,0,288039,0,283128,0,99199,0,,,
4/28/2021,Monmouth County,NJ,293672,47.5,293652,54.5,290953,59.5,90015,80,198155,32,198153,36.7,197468,40.4,72007,64,618795,539254,489383
4/28/2021,Essex County,NJ,343059,42.9,343028,51.1,338548,55.5,83611,75.3,215389,27,215384,32.1,214195,35.1,63782,57.4,798975,671913,609578
4/28/2021,Middlesex County,NJ,383393,46.5,383371,54.1,378354,58.5,98629,77.2,238721,28.9,238719,33.7,237159,36.7,75638,59.2,825062,708391,646270
4/28/2021,Cape May County,NJ,49334,53.6,49333,60.4,49039,64.4,20917,83.1,39136,42.5,39136,47.9,39030,51.3,18187,72.3,92039,81647,76089
4/28/2021,Ocean County,NJ,235862,38.8,235846,46.5,234925,51,103358,74.7,165114,27.2,165112,32.5,164893,35.8,81518,58.9,607186,507517,460496
4/28/2021,Salem County,NJ,24240,38.9,24238,45.2,24073,49.1,9182,77.3,15800,25.3,15800,29.4,15762,32.1,6815,57.4,62385,53679,49051
4/28/2021,Somerset County,NJ,168119,51.1,168106,58.8,165810,64.2,42091,79.1,108053,32.8,108053,37.8,107365,41.6,33124,62.3,328934,285695,258178
4/28/2021,Warren County,NJ,48253,45.8,48251,52,47904,56.4,16732,84.9,31060,29.5,31060,33.4,30999,36.5,13795,70,105267,92873,84914
4/28/2021,Burlington County,NJ,222773,50,222764,57.6,220152,62.3,63621,82.2,164156,36.9,164155,42.4,163237,46.2,54280,70.2,445349,387026,353190
4/28/2021,Hunterdon County,NJ,61575,49.5,61574,55.8,60957,60.6,19031,79,37324,30,37323,33.8,37168,36.9,13835,57.4,124371,110363,100659
4/28/2021,Camden County,NJ,228407,45.1,228396,52.9,225643,57.5,63025,77.3,162894,32.2,162888,37.7,161986,41.3,51725,63.4,506471,431523,392248
4/28/2021,Gloucester County,NJ,132175,45.3,132173,52.5,130505,57.1,37181,78.2,91254,31.3,91254,36.2,90725,39.7,29607,62.2,291636,251839,228537
4/28/2021,Hudson County,NJ,305774,45.5,305729,53.2,303603,56.7,57748,70.5,186274,27.7,186270,32.4,185836,34.7,44326,54.1,672391,574459,535676
4/28/2021,Passaic County,NJ,201833,40.2,201795,47.8,199862,52.2,55178,73.4,130652,26,130648,30.9,130176,34,43775,58.2,501826,422206,382808
4/28/2021,Unknown County,NJ,,0,,0,,0,,0,287012,0,287008,0,282272,0,99096,0,,,
4/28/2021,Atlantic County,NJ,121817,46.2,121813,53.5,120689,58,37880,77.3,92321,35,92319,40.5,91779,44.1,31873,65,263670,227677,208133
4/28/2021,Mercer County,NJ,164553,44.8,164542,52,162173,56,43953,76.5,101004,27.5,101001,31.9,100255,34.6,32501,56.5,367430,316439,289368
4/28/2021,Morris County,NJ,274798,55.9,274660,64.1,270583,69.5,72298,83.6,202712,41.2,202709,47.3,201510,51.8,64395,74.5,491845,428537,389368
4/28/2021,Cumberland County,NJ,51038,34.1,51038,40.5,50751,44.5,16526,70.6,31343,21,31343,24.9,31270,27.4,10953,46.8,149527,125954,114047
4/28/2021,Union County,NJ,235768,42.4,235743,50.1,232321,54.5,57630,70.3,147396,26.5,147392,31.3,146555,34.4,43361,52.9,556341,470390,426483
4/28/2021,Sussex County,NJ,62631,44.6,62619,50.6,62098,54.8,19270,76.3,41253,29.4,41253,33.3,41132,36.3,15235,60.4,140488,123854,113243
4/28/2021,Bergen County,NJ,487503,52.3,487467,60.4,480202,65.3,133020,80.8,347986,37.3,347981,43.1,346059,47,115273,70,932202,807139,735893
4/27/2021,Union County,NJ,233732,42,233707,49.7,230376,54,57441,70.1,143987,25.9,143984,30.6,143192,33.6,42846,52.3,556341,470390,426483
4/27/2021,Mercer County,NJ,162565,44.2,162554,51.4,160247,55.4,43730,76.1,99474,27.1,99471,31.4,98755,34.1,32371,56.3,367430,316439,289368
4/27/2021,Cumberland County,NJ,50819,34,50819,40.3,50546,44.3,16497,70.5,31122,20.8,31122,24.7,31052,27.2,10913,46.7,149527,125954,114047
4/27/2021,Burlington County,NJ,221502,49.7,221493,57.2,218962,62,63423,82,161980,36.4,161979,41.9,161101,45.6,53872,69.6,445349,387026,353190
4/27/2021,Sussex County,NJ,62207,44.3,62195,50.2,61689,54.5,19195,76,40132,28.6,40132,32.4,40018,35.3,14795,58.6,140488,123854,113243
4/27/2021,Ocean County,NJ,234414,38.6,234398,46.2,233516,50.7,102973,74.4,163208,26.9,163206,32.2,162996,35.4,80787,58.4,607186,507517,460496
4/27/2021,Hunterdon County,NJ,61081,49.1,61080,55.3,60493,60.1,18977,78.8,36332,29.2,36331,32.9,36185,35.9,13638,56.6,124371,110363,100659
4/27/2021,Monmouth County,NJ,291029,47,291009,54,288421,58.9,89689,79.7,195041,31.5,195039,36.2,194387,39.7,71397,63.5,618795,539254,489383
4/27/2021,Middlesex County,NJ,379104,45.9,379082,53.5,374271,57.9,98224,76.9,234820,28.5,234819,33.1,233318,36.1,74859,58.6,825062,708391,646270
4/27/2021,Atlantic County,NJ,121045,45.9,121041,53.2,119939,57.6,37767,77,90808,34.4,90806,39.9,90281,43.4,31616,64.5,263670,227677,208133
4/27/2021,Somerset County,NJ,166805,50.7,166792,58.4,164560,63.7,41975,78.9,106273,32.3,106273,37.2,105624,40.9,32819,61.7,328934,285695,258178
4/27/2021,Bergen County,NJ,483757,51.9,483721,59.9,476717,64.8,132689,80.6,342171,36.7,342166,42.4,340336,46.2,114569,69.6,932202,807139,735893
4/27/2021,Unknown County,NJ,,0,,0,,0,,0,285925,0,285921,0,281359,0,98967,0,,,
4/27/2021,Gloucester County,NJ,131649,45.1,131647,52.3,130025,56.9,37141,78.1,90095,30.9,90095,35.8,89591,39.2,29424,61.9,291636,251839,228537
4/27/2021,Camden County,NJ,227041,44.8,227030,52.6,224345,57.2,62878,77.1,160461,31.7,160455,37.2,159597,40.7,51312,62.9,506471,431523,392248
